url,count
https://www.theguardian.com/world/2020/may/02/fearful-britons-oppose-lifting-lockdown-schools-pubs-restaurants-opinium-poll?CMP=twt_gu&utm_source=Twitter&utm_medium#Echobox=1588493245,106
http://news.sky.com/story/coronavirus-germany-is-reopening-its-schools-and-the-world-is-watching-11982351,99
https://www.theguardian.com/world/2020/feb/23/coronavirus-northern-italian-towns-close-schools-and-businesses,68
https://www.tes.com/news/coronavirus-pm-plan-reopen-schools-will-be-set-out-next-week,62
https://www.theguardian.com/world/2020/apr/30/coronavirus-scientists-caution-against-reopening-schools,53
https://trib.al/LBLV8jx,44
http://news.sky.com/story/coronavirus-schools-reopen-in-chinese-city-where-pandemic-began-11983791,38
https://www.theguardian.com/education/2020/may/01/government-must-lead-on-re-opening-of-uk-schools-after-coronavirus-lockdown-says-nasuwt-union-boss?CMP=share_btn_tw,37
https://www.theguardian.com/world/2020/may/02/fearful-britons-oppose-lifting-lockdown-schools-pubs-restaurants-opinium-poll?CMP=share_btn_tw,35
https://www.theguardian.com/politics/live/2020/may/05/uk-coronavirus-live-contact-tracing-app-trial-begins-on-isle-of-wight?CMP=twt_gu&utm_source=Twitter&utm_medium#Echobox=1588679333,33
https://www.independent.co.uk/news/uk/home-news/coronavirus-children-referrals-schools-open-anne-longfield-a9500176.html,33
https://schoolsweek.co.uk/coronavirus-government-must-say-why-it-wants-to-reopen-schools-say-heads/,32
https://www.bbc.co.uk/news/uk-scotland-52544700,31
https://www.mirror.co.uk/news/uk-news/live-uk-updates-coronavirus-pandemic-21956301,30
https://www.theguardian.com/world/2020/may/02/fearful-britons-oppose-lifting-lockdown-schools-pubs-restaurants-opinium-poll,29
https://schoolsweek.co.uk/coronavirus-very-real-risk-of-spike-if-schools-open-too-early-say-teaching-unions/,25
https://www.theguardian.com/education/2020/may/03/primary-schools-england-could-reopen-june-boris-johnson-coronavirus,21
https://bit.ly/3fzvF7A,21
https://www.independent.co.uk/news/world/americas/us-politics/coronavirus-trump-americans-disapprove-handling-schools-a9492301.html?utm_medium=Social&utm_source=Twitter#Echobox=1588257634,20
https://www.thescottishsun.co.uk/news/5556778/coronavirus-scotland-nicola-sturgeon-scottish-government-primary-schools-reopen?utm_source=twitter&utm_medium=social&utm_campaign=sharebarweb,18
https://trib.al/dNbTGGd,18
https://www.thescottishsun.co.uk/news/5556778/coronavirus-scotland-nicola-sturgeon-scottish-government-primary-schools-reopen/,18
https://www.theguardian.com/world/2020/apr/30/coronavirus-scientists-caution-against-reopening-schools?CMP=twt_gu&utm_source=Twitter&utm_medium#Echobox=1588249353,17
https://trib.al/fHGdT7Q,17
https://www.tes.com/news/coronavirus-teachers-set-5-tests-reopening-schools,17
https://www.theguardian.com/education/2020/may/05/headteachers-call-for-kinder-school-system-coronavirus-michael-gove,16
https://www.dailystar.co.uk/news/latest-news/schools-remain-closed-until-september-21982022,16
https://mol.im/a/8278013,16
https://mol.im/a/8281269,16
https://www.thesun.co.uk/news/11532261/denmark-coronavirus-infection-rate-schools/?utm_medium=Social&utm_campaign=sunmaintwitter&utm_source=Twitter#Echobox=1588425892,15
https://reach.scot/learning-support/7-tips-from-teachers-about-coronavirus-home-learning-and-coping-while-schools-are-closed/,14
https://www.app.com/story/sports/high-school/2020/05/04/coronavirus-nj-high-school-sports-apparently-canceled/2985638001/,14
https://www.theguardian.com/education/2020/may/03/primary-schools-england-could-reopen-june-boris-johnson-coronavirus?CMP=share_btn_tw,14
https://www.theguardian.com/world/2020/apr/30/coronavirus-scientists-caution-against-reopening-schools?CMP=share_btn_tw,14
https://www.gov.uk/government/publications/coronavirus-covid-19-maintaining-educational-provision/guidance-for-schools-colleges-and-local-authorities-on-maintaining-educational-provision,13
https://www.thesun.co.uk/news/11514694/reopening-school-risk-second-wave-coronavirus/?utm_medium=Social&utm_campaign=sunmaintwitter&utm_source=Twitter#Echobox=1588250114,13
https://www.thesun.co.uk/news/11529480/ireland-extends-coronavirus-lockdown-may-18/?utm_medium=Social&utm_campaign=sunmaintwitter&utm_source=Twitter#Echobox=1588357158,13
https://trib.al/XWpmvoz,13
https://www.telegraph.co.uk/politics/2020/03/19/boris-johnson-news-latest-schools-coronavirus-emergency-bill/,13
https://www.theguardian.com/politics/2020/apr/30/britain-is-past-peak-of-coronavirus-outbreak-says-boris-johnson?CMP=share_btn_tw,12
https://www.theguardian.com/world/2020/may/01/children-as-likely-to-spread-coronavirus-as-adults-says-scientist,12
https://www.independent.co.uk/news/world/uk-lockdown-coronavirus-social-distancing-masks-schools-shops-a9488081.html,12
http://news.sky.com/story/coronavirus-when-will-uk-schools-reopen-and-what-can-we-learn-from-europe-about-how-it-will-happen-11983528,11
https://gov.wales/how-schools-will-work-during-coronavirus-pandemic,11
https://www.newstatesman.com/politics/education/2020/04/covid-19-coronavirus-schools-education-reopening-home-learning,11
https://trib.al/hidR2K4,10
https://www.theguardian.com/education/2020/may/03/primary-schools-england-could-reopen-june-boris-johnson-coronavirus?CMP=twt_a-education_b-gdnedu,10
https://www.parentkind.org.uk/News/Coronavirus-and-school-closures---parents-how-are-you-doing,10
https://www.theguardian.com/education/2020/may/01/government-must-lead-on-re-opening-of-uk-schools-after-coronavirus-lockdown-says-nasuwt-union-boss,10
https://www.theguardian.com/world/2020/apr/30/coronavirus-scientists-caution-against-reopening-schools?CMP=Share_AndroidApp_Tweet,10
https://bit.ly/2SEYpC4,10
