url,count
https://www.gov.uk/government/publications/covid-19-track-coronavirus-cases,4
https://coronavirus.data.gov.uk/,4
https://econ.st/2Jx5CPF,4
https://www.hsj.co.uk/coronavirus/government-acts-after-claims-covid-deaths-of-disabled-people-are-being-ignored/7027588.article,3
https://www.theguardian.com/world/2020/apr/12/uk-government-using-confidential-patient-data-in-coronavirus-response,3
https://www.telegraph.co.uk/global-health/science-and-disease/coronavirus-news-track-trace-care-home-deaths-cases-uk1/,1
https://www.independent.co.uk/voices/editorials/boris-johnson-pmqs-keir-starmer-coronavirus-parliament-a9502656.html,1
https://www.itv.com/news/2020-05-06/coronavirus-delays-in-action-on-care-home-crisis-cost-thousands-of-lives-documents-reveal/,1
https://www.ofcom.org.uk/research-and-data/tv-radio-and-on-demand/news-media/coronavirus-news-consumption-attitudes-behaviour,1
https://www.opengovpartnership.org/documents/a-guide-to-open-government-and-the-coronavirus-open-data/,1
http://bit.ly/2YobjIj,1
https://www.telegraph.co.uk/news/2020/05/07/black-people-four-times-likely-die-coronavirus-white-people/,1
https://www.england.nhs.uk/statistics/statistical-work-areas/covid-19-daily-deaths/,1
https://www.theguardian.com/uk-news/2020/may/05/why-no-10s-covid-19-death-toll-slides-dont-tell-the-whole-story,1
https://www.theguardian.com/world/2020/apr/12/uk-government-using-confidential-patient-data-in-coronavirus-response?CMP=share_btn_tw,1
https://www.theguardian.com/world/2020/may/07/uk-coronavirus-contract-tracing-app-could-fall-foul-of-privacy-law-government-told?CMP=Share_iOSApp_Other,1
https://www.thescottishsun.co.uk/news/scottish-news/5567909/coronavirus-scotland-data-ages-gender-pandemic?utm_source=twitter&utm_medium=social&utm_campaign=sharebaramp,1
https://www.theguardian.com/politics/live/2020/may/06/uk-coronavirus-live-furlough-scheme-government-ease-lockdown-pmqs-covid-19-latest-updates,1
https://www.bsg.ox.ac.uk/research/research-projects/coronavirus-government-response-tracker,1
https://www.economist.com/britain/2020/04/25/official-data-suggest-britons-are-learning-to-help-each-other,1
https://bit.ly/2L7zyTb,1
https://uk.reuters.com/article/uk-health-coronavirus-britain-loans/uk-banks-lending-to-covid-19-hit-firms-rises-to-5-5-billion-pounds-idUKKBN22J187,1
https://twitter.com/toadmeister/status/1258137402771718144,1
https://twitter.com/p_h_s_stats/status/1258018679242895364,1
https://threadreaderapp.com/thread/1257688678958338048.html,1
https://theferret.scot/coronavirus-cases-in-scotland/,1
https://reut.rs/2Swejyf,1
https://publichealthscotland.scot/news/covid19-the-story-behind-the-data/,1
https://metro.co.uk/2020/05/07/black-people-four-times-likely-die-coronavirus-12666537/?ito=article.desktop.share.top.twitter,1
https://buff.ly/3fp07Rv,1
https://buff.ly/3diS1rZ,1
https://buff.ly/2RyNYPE,1
https://bit.ly/3drnYy7,1
https://bit.ly/2ydjf44,1
https://youtu.be/LrE50N1mODo,1
