id_str,user_id_str,in_reply_to_status_id_str,in_reply_to_user_id_str,created_at,in_reply_to_screen_name,source,user_name,user_screen_name,user_created_at,user_statuses_count,user_description,user_location,user_verified,user_followers_count,user_friends_count,user_url,text,entities_hashtags,entities_urls,entities_user_mentions,retweeted_status_id
1258360154329960449,929705556,,,2020-05-07 11:36:54,,Twitter for iPhone,Newaz Islam,Newaz_Islam,Tue Nov 06 13:17:43 +0000 2012,1186,"Now mostly at home | @Captify before @Twitter, @GroupM, @I-Level, @Publicis & @AdLink | 🏴󠁧󠁢󠁥󠁮󠁧󠁿🦁| Tottenham Hotspur fan #COYS",United Kingdom,False,459,426,,"⁦@MattHancock⁩ re: the app, there must be robust legal protection for individuals about what that data will be used for, who will have access to it and how it will be safeguarded from hacking. https://t.co/MhXk1jku4C",[],"[{'url': 'https://t.co/MhXk1jku4C', 'expanded_url': 'https://www.theguardian.com/world/2020/may/07/uk-coronavirus-contract-tracing-app-could-fall-foul-of-privacy-law-government-told?CMP=Share_iOSApp_Other', 'display_url': 'theguardian.com/world/2020/may…', 'indices': [193, 216]}]","[{'screen_name': 'MattHancock', 'name': 'Matt Hancock', 'id': 19825835, 'id_str': '19825835', 'indices': [1, 13]}]",
1258360126882414592,33657355,,,2020-05-07 11:36:48,,Twitter for iPad,Mary L Churchill,mary_churchill,Mon Apr 20 20:48:47 +0000 2009,30555,Associate Dean/Strategy & Community @BUWheelock #HigherEd. Creator @UVenus @insidehighered Author The Good Closure @jhupress https://t.co/GETy9qg6tl,"Roxbury, Boston, MA",False,3509,1893,https://t.co/WSUtgTmasu,"#THEinConversation @Rachel_Hewitt_ Government talk about ""low value courses"" or courses that ""benefit the economy""... what is going to be used to assess that? Earnings data feels even more inappropriate than it did before. #coronavirus https://t.co/AkJChuGsMc","[{'text': 'THEinConversation', 'indices': [15, 33]}]",[],"[{'screen_name': 'Phil_Baty', 'name': 'Phil Baty', 'id': 354880191, 'id_str': '354880191', 'indices': [3, 13]}, {'screen_name': 'Rachel_Hewitt_', 'name': 'Rachel Hewitt', 'id': 3109911910, 'id_str': '3109911910', 'indices': [34, 49]}]",1258359343860285440
1258359756722442243,3154606888,,,2020-05-07 11:35:19,,Twitter Web App,Catherine Lawton,lawtoncath,Fri Apr 10 21:14:15 +0000 2015,1038,"Living, sharing and loving. Arts and culture from around the world","London, England",False,95,119,,"#British banks’ lending to firms hit by the #coronavirus under the government’s main loan guarantee scheme for small and medium-sized firms has risen to 5.5 billion pounds from 4.1 billion pounds last week, industry data showed on Thursday. 

https://t.co/VKccDyywXN","[{'text': 'British', 'indices': [0, 8]}, {'text': 'coronavirus', 'indices': [44, 56]}]","[{'url': 'https://t.co/VKccDyywXN', 'expanded_url': 'https://uk.reuters.com/article/uk-health-coronavirus-britain-loans/uk-banks-lending-to-covid-19-hit-firms-rises-to-5-5-billion-pounds-idUKKBN22J187', 'display_url': 'uk.reuters.com/article/uk-hea…', 'indices': [243, 266]}]",[],
1258359343860285440,354880191,,,2020-05-07 11:33:41,,Twitter Web App,Phil Baty,Phil_Baty,Sun Aug 14 13:18:44 +0000 2011,39871,"Chief Knowledge Officer at THE - home of @timeshighered @THEworldsummits @THEworldunirank @timeshigherjobs & for students, @theuniadvice #loveHE",London,True,27222,2893,https://t.co/SHlBxmu5aC,"#THEinConversation @Rachel_Hewitt_ Government talk about ""low value courses"" or courses that ""benefit the economy""... what is going to be used to assess that? Earnings data feels even more inappropriate than it did before. #coronavirus https://t.co/AkJChuGsMc","[{'text': 'THEinConversation', 'indices': [0, 18]}, {'text': 'coronavirus', 'indices': [223, 235]}]",[],"[{'screen_name': 'Rachel_Hewitt_', 'name': 'Rachel Hewitt', 'id': 3109911910, 'id_str': '3109911910', 'indices': [19, 34]}]",
1258358928880041984,382896028,1258358927181451269,382896028,2020-05-07 11:32:02,quigdes,Twitter Web App,Kevin Quigley,quigdes,Fri Sep 30 21:57:14 +0000 2011,30163,I run a product design company in Shrewsbury.,"Shrewsbury, UK",False,1171,727,https://t.co/YUb7Qb9wmY,"So I am looking at the death rates and new reported cases on the Government website here. Specifically, looking at newly reported cases (lab confirmed). And it looks like a downward trend. 
https://t.co/LkqAoRkBhl",[],"[{'url': 'https://t.co/LkqAoRkBhl', 'expanded_url': 'https://coronavirus.data.gov.uk/', 'display_url': 'coronavirus.data.gov.uk', 'indices': [190, 213]}]",[],
1258358420459204608,629469395,,,2020-05-07 11:30:01,,Twitter for Android,Habeeb Akande,Habeeb_Akande,Sat Jul 07 16:45:55 +0000 2012,16911,"Author of 6 books. Sex educator. Historian.

Kunyaza and A Taste of Honey OUT NOW!
🇧🇷 Brazil documentary in progress 
Views my own. RT are not endorsements.","London, England",False,2161,836,https://t.co/LxOvbETJvZ,"Black people four times more likely to die from coronavirus than white people, ONS figures show in the UK

Likelihood of death from Covid-19 'significantly higher' among BAME groups than the general population, new UK government data has revealed

https://t.co/18mt4ql0Vq",[],"[{'url': 'https://t.co/18mt4ql0Vq', 'expanded_url': 'https://www.telegraph.co.uk/news/2020/05/07/black-people-four-times-likely-die-coronavirus-white-people/', 'display_url': 'telegraph.co.uk/news/2020/05/0…', 'indices': [248, 271]}]",[],
1258356866494709760,58584659,,,2020-05-07 11:23:50,,Twitter Web Client,Graham Smith,cyberleagle,Mon Jul 20 20:43:17 +0000 2009,24678,IT and internet lawyer. Sceptical tech enthusiast. RTs and links are not endorsements.  All views my own. No tweets are legal advice.,"London, UK",False,3736,210,https://t.co/FQuZeHAyDD,"It's not suprising polls find the public would back the government requiring tougher action from tech companies against COVID-19 fake news, when @Ofcom report 50% of people believe they've been exposed to this disinformation in the last week. @infotagion https://t.co/nLIbckCr7z",[],[],"[{'screen_name': 'DamianCollins', 'name': 'Damian Collins', 'id': 14758838, 'id_str': '14758838', 'indices': [3, 17]}]",1258349271105130496
1258356831656828930,1258712054,,,2020-05-07 11:23:42,,Twitter Web App,Helen Ross,Tighnacoille,Mon Mar 11 06:04:27 +0000 2013,558372,Les feuilles mortes se ramassent à la pelle. Les souvenirs et les regrets aussi Et le vent du nord les emporte Dans la nuit froide de l'oubli  🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺,,False,2143,4989,,"Based on traffic data, observations, polling, and speaking to a range of people, for many the lockdown is already over because the government messaging many people that impression.

Subsequently, we should expect a much harsher second peak of the coronavirus and COVID19 deaths.",[],[],"[{'screen_name': 'peoptog', 'name': 'People Together', 'id': 1238466373791166465, 'id_str': '1238466373791166465', 'indices': [3, 11]}]",1258302230853226496
1258356099041951744,1058880018,,,2020-05-07 11:20:47,,Twitter for iPhone,Dominic John North,DomJNorth,Thu Jan 03 21:59:44 +0000 2013,34560,,,False,931,1663,,"It's not suprising polls find the public would back the government requiring tougher action from tech companies against COVID-19 fake news, when @Ofcom report 50% of people believe they've been exposed to this disinformation in the last week. @infotagion https://t.co/nLIbckCr7z",[],[],"[{'screen_name': 'DamianCollins', 'name': 'Damian Collins', 'id': 14758838, 'id_str': '14758838', 'indices': [3, 17]}]",1258349271105130496
1258356090812731394,210413648,,,2020-05-07 11:20:45,,Twitter Web Client,Bob Chicken,MullingKintyre,Sun Oct 31 11:26:35 +0000 2010,49958,"Live on the beautiful Kintyre peninsula. Grandfather, Scottish Labour, Campaigner for vulnerable adults, Walker and Yottie. UNISON #Remain",Tarbert Loch Fyne,False,1908,2001,,"Keir Starmer is already showing how to unpick Johnson's bluster of half truths, dodgy statistics and outright lies. Now Labour needs to show that it can become a responsible government-in-waiting when the next election is called.  https://t.co/2nQH6xnjzM",[],"[{'url': 'https://t.co/2nQH6xnjzM', 'expanded_url': 'https://www.independent.co.uk/voices/editorials/boris-johnson-pmqs-keir-starmer-coronavirus-parliament-a9502656.html', 'display_url': 'independent.co.uk/voices/editori…', 'indices': [231, 254]}]",[],
